,CDS_CODE,Year,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function_Accounts Receivable                                                                                                                                                                                                                                       ,Function_Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,Function_Books and Other Reference Materials                                                                                                                                                                                                                       ,Function_Classified Instructional Salaries                                                                                                                                                                                                                         ,Function_Classified Support Salaries                                                                                                                                                                                                                               ,Function_Communications                                                                                                                                                                                                                                            ,Function_Insurance                                                                                                                                                                                                                                                 ,Function_Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,Function_Subagreements for Services                                                                                                                                                                                                                                ,Function_Transfers of Indirect Costs                                                                                                                                                                                                                               ,Function_Transfers of Indirect Costs - Interfund                                                                                                                                                                                                                   ,Function_Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,Amount_<500k,Amount_500k-1500k,Amount_1500k-3000k,Amount_3000k-10000k,Amount_>10000k,principal component 1,principal component 2,principal component 3,Cluster
983,42750,1516,12,23,230,22,1,150020,4200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-3.1249013598385456,2.2429408906365884,-0.6148916483396055,2
984,45701,1213,12,14,2899,17,7,140220,18400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.5212746656771827,-0.7261846135236785,-0.29778988776932047,2
985,45701,1213,12,14,2899,17,7,140220,8400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.784751150137918,0.9268592386412752,0.626366439388737,2
986,45701,1213,12,14,2899,17,7,140220,4200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.7770827643820555,2.0192159334380384,-0.8665507080812785,2
987,45701,1213,12,14,2899,17,7,140220,11800,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-3.10034014133795,0.7079393474885853,1.0678864560414745,2
988,45701,1213,12,14,2899,17,7,140220,10800,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.7508611645836902,0.9342549970072457,1.4574161334927191,2
989,45701,1314,10,22,2690,24,3,210330,27600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.369777489832549,-0.9545241197553929,-0.2915718294045126,2
990,45701,1314,10,22,2690,24,3,210330,12600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.684737714267838,0.8321267014666115,0.6313586412122295,2
991,45701,1314,10,22,2690,24,3,210330,6300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.698692499301287,1.980598323267337,-0.8620733660051383,2
992,45701,1314,10,22,2690,24,3,210330,17700,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.9828222338765213,0.5677804408345245,1.073295449089014,2
993,45701,1314,10,22,2690,24,3,210330,16200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.6384916311197166,0.80745678725889,1.4627025408861274,2
994,45701,1415,25,23,3141,23,8,280440,36800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-1.5352798059407864,-1.3106066508232617,-0.3123427855371842,0
995,45701,1415,25,23,3141,23,8,280440,16800,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-1.9017237703506265,0.6096511394557943,0.6093618285382433,2
996,45701,1415,25,23,3141,23,8,280440,8400,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-1.9373017261733874,1.8142376882604816,-0.8845850384264771,2
997,45701,1415,25,23,3141,23,8,280440,23600,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.1823038183679615,0.2998785093443098,1.0517154276390752,2
998,45701,1415,25,23,3141,23,8,280440,21600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.8431215896086133,0.5529155526743804,1.4409999337820543,2
999,45701,1516,18,19,2903,20,9,210330,27600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.0218550610243606,-1.005156868876106,-0.35379717418925344,2
1000,45701,1516,18,19,2903,20,9,210330,12600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.3368152854596485,0.7814939523458987,0.5691332964274887,2
1001,45701,1516,18,19,2903,20,9,210330,6300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-2.3507700704930983,1.929965574146625,-0.9242987107898786,2
1002,45701,1516,18,19,2903,20,9,210330,17700,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.634899805068331,0.5171476917138117,1.0110701043042734,2
1003,45701,1516,18,19,2903,20,9,210330,16200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.290569202311528,0.7568240381381769,1.4004771961013855,2
1004,46140,1213,24,41,163,37,6,307040,46000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-1.567452530757982,-1.5962680999415757,-0.29579397358980547,0
1005,46140,1213,24,41,163,37,6,307040,21000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.291038630339901,0.700185672286445,0.9844970495505747,2
1006,46140,1213,24,41,163,37,6,307040,10500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.3482397569519744,1.9608871480950951,-0.5099646771614976,2
1007,46140,1213,24,41,163,37,6,307040,40550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-1.1706987374260072,-0.9196616558914104,-2.4053423935294544,0
1008,46140,1213,24,41,163,37,6,307040,25500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,-2.340826830667482,0.5269815742963543,1.2860071412738783,2
1009,46140,1314,13,49,145,46,7,184224,27600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.6814560804766603,-0.7625461352385897,0.01593665551818979,2
1010,46140,1314,13,49,145,46,7,184224,12600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.996416304911948,1.0241046859834149,0.938867126134932,2
1011,46140,1314,13,49,145,46,7,184224,6300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-3.0103710899453975,2.1725763077841393,-0.554564881082436,2
1012,46140,1314,13,49,145,46,7,184224,24330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-2.277055396378718,-0.7108801778567706,-1.3244958321218014,2
1013,46140,1314,13,49,145,46,7,184224,15300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,-3.0647386516303694,0.8989990968538628,1.239935909503364,2
1014,46140,1415,20,37,148,30,7,245632,36800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-1.9017062120866264,-1.3077177404376592,-0.3617040973427567,2
1015,46140,1415,20,37,148,30,7,245632,16800,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.5738085716939945,0.8551290627333099,0.9198127823389374,2
1016,46140,1415,20,37,148,30,7,245632,8400,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.6093865275167554,2.0597156115379978,-0.5741340846257827,2
1017,46140,1415,20,37,148,30,7,245632,32440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-1.8141873785006652,-0.9843364509094897,-1.3425915561024881,0
1018,46140,1415,20,37,148,30,7,245632,20400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,-2.6328638452169932,0.7059742191734886,1.2211022198848058,2
1019,46140,1516,24,42,172,40,9,307040,46000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,-1.5190752945216175,-1.5792797984001248,-0.36697692695499806,0
1020,46140,1516,24,42,172,40,9,307040,21000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.2426613941035374,0.7171739738278963,0.913314096185382,2
1021,46140,1516,24,42,172,40,9,307040,10500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-2.2998625207156107,1.9778754496365458,-0.5811476305266898,2
1022,46140,1516,24,42,172,40,9,307040,40550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-1.4427799162501092,-1.2267721896175177,-1.3481316224407358,0
1023,46140,1516,24,42,172,40,9,307040,25500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,-2.2924495944311185,0.5439698758378056,1.2148241879086874,2
1024,46142,1213,37,1210,5055,1095,439,552816,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.0177715325142653,-2.0262047329059225,-1.3949984641429392,0
1025,46142,1213,37,1210,5055,1095,439,552816,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.2502150584623446,2.047249086482887,-1.975944298475567,1
1026,46142,1213,37,1210,5055,1095,439,552816,72990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.7979358452097363,-1.3996946825998196,-1.9034960374249092,0
1027,46142,1213,37,1210,5055,1095,439,552816,63990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1.2572642530188767,-1.2980640321116603,1.4551186537208567,0
1028,46142,1314,37,1139,5019,1035,434,552816,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.9620359445663527,-2.0405952462424404,-1.4359025423629914,0
1029,46142,1314,37,1139,5019,1035,434,552816,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.1944794705144308,2.0328585731463686,-2.0168483766956173,1
1030,46142,1314,37,1139,5019,1035,434,552816,72990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.7422002572618238,-1.4140851959363379,-1.9444001156449604,0
1031,46142,1314,37,1139,5019,1035,434,552816,63990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1.2015286650709636,-1.3124545454481786,1.414214575500805,0
1032,46142,1415,37,1094,4964,1030,399,552816,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.9178397538100591,-2.0533406303502764,-1.4739559710624293,0
1033,46142,1415,37,1094,4964,1030,399,552816,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.1502832797581375,2.020113189038535,-2.0549018053950565,1
