Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
6630823.98,52105200000000,6630.82398,Tehama County Department of Education,10520,1,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,0,1,0,1415
6630823.98,52105200000000,6630.82398,Tehama County Office of Education,10520,1,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,0,1,0,1415
582042.72,52105200000000,582.04272,Tehama County Department of Education,10520,1,6,Classified Support Salaries,Classified Support Salaries,2200,1,0,1,0,1415
582042.72,52105200000000,582.04272,Tehama County Office of Education,10520,1,6,Classified Support Salaries,Classified Support Salaries,2200,1,0,1,0,1415
71832.08,52105200000000,71.83208,Tehama County Department of Education,10520,1,6,Communications,Communications,5900,1,0,1,0,1415
71832.08,52105200000000,71.83208,Tehama County Office of Education,10520,1,6,Communications,Communications,5900,1,0,1,0,1415
325127.99,52105200000000,325.12799,Tehama County Department of Education,10520,1,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,0,1,0,1415
325127.99,52105200000000,325.12799,Tehama County Office of Education,10520,1,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,0,1,0,1415
5839803.52,52105200000000,5839.80352,Tehama County Department of Education,10520,1,6,Accounts Receivable,Accounts Receivable,9200,1,0,1,0,1415
5839803.52,52105200000000,5839.80352,Tehama County Office of Education,10520,1,6,Accounts Receivable,Accounts Receivable,9200,1,0,1,0,1415
6630823.98,52105200000000,6630.82398,Tehama County Department of Education,10520,187,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,18,35,1,0,1415
6630823.98,52105200000000,6630.82398,Tehama County Office of Education,10520,187,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,18,35,1,0,1415
582042.72,52105200000000,582.04272,Tehama County Department of Education,10520,187,7,Classified Support Salaries,Classified Support Salaries,2200,18,35,1,0,1415
582042.72,52105200000000,582.04272,Tehama County Office of Education,10520,187,7,Classified Support Salaries,Classified Support Salaries,2200,18,35,1,0,1415
71832.08,52105200000000,71.83208,Tehama County Department of Education,10520,187,7,Communications,Communications,5900,18,35,1,0,1415
71832.08,52105200000000,71.83208,Tehama County Office of Education,10520,187,7,Communications,Communications,5900,18,35,1,0,1415
325127.99,52105200000000,325.12799,Tehama County Department of Education,10520,187,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,18,35,1,0,1415
325127.99,52105200000000,325.12799,Tehama County Office of Education,10520,187,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,18,35,1,0,1415
5839803.52,52105200000000,5839.80352,Tehama County Department of Education,10520,187,7,Accounts Receivable,Accounts Receivable,9200,18,35,1,0,1415
5839803.52,52105200000000,5839.80352,Tehama County Office of Education,10520,187,7,Accounts Receivable,Accounts Receivable,9200,18,35,1,0,1415
968498.82,54718600000000,968.49882,Cutler-Orosi Joint Unified,71860,18,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,1,1415
269221.96,54718600000000,269.22196,Cutler-Orosi Joint Unified,71860,18,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,1,1415
202423.46,54718600000000,202.42346,Cutler-Orosi Joint Unified,71860,18,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,1,1415
2307268.57,54718600000000,2307.26857,Cutler-Orosi Joint Unified,71860,18,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,1,1415
450474,54718600000000,450.474,Cutler-Orosi Joint Unified,71860,18,2,Accounts Receivable,Accounts Receivable,9200,1,1,1,1,1415
968498.82,54718600000000,968.49882,Cutler-Orosi Joint Unified,71860,137,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,8,8,1,6,1415
269221.96,54718600000000,269.22196,Cutler-Orosi Joint Unified,71860,137,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,8,8,1,6,1415
202423.46,54718600000000,202.42346,Cutler-Orosi Joint Unified,71860,137,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,8,8,1,6,1415
2307268.57,54718600000000,2307.26857,Cutler-Orosi Joint Unified,71860,137,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,8,8,1,6,1415
450474,54718600000000,450.474,Cutler-Orosi Joint Unified,71860,137,4,Accounts Receivable,Accounts Receivable,9200,8,8,1,6,1415
968498.82,54718600000000,968.49882,Cutler-Orosi Joint Unified,71860,3864,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,228,260,1,76,1415
269221.96,54718600000000,269.22196,Cutler-Orosi Joint Unified,71860,3864,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,228,260,1,76,1415
202423.46,54718600000000,202.42346,Cutler-Orosi Joint Unified,71860,3864,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,228,260,1,76,1415
2307268.57,54718600000000,2307.26857,Cutler-Orosi Joint Unified,71860,3864,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,228,260,1,76,1415
450474,54718600000000,450.474,Cutler-Orosi Joint Unified,71860,3864,5,Accounts Receivable,Accounts Receivable,9200,228,260,1,76,1415
968498.82,54718600000000,968.49882,Cutler-Orosi Joint Unified,71860,3,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1415
269221.96,54718600000000,269.22196,Cutler-Orosi Joint Unified,71860,3,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,0,1415
202423.46,54718600000000,202.42346,Cutler-Orosi Joint Unified,71860,3,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,0,1415
2307268.57,54718600000000,2307.26857,Cutler-Orosi Joint Unified,71860,3,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,0,1415
450474,54718600000000,450.474,Cutler-Orosi Joint Unified,71860,3,6,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1415
968498.82,54718600000000,968.49882,Cutler-Orosi Joint Unified,71860,52,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,6,5,1,2,1415
269221.96,54718600000000,269.22196,Cutler-Orosi Joint Unified,71860,52,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,6,5,1,2,1415
202423.46,54718600000000,202.42346,Cutler-Orosi Joint Unified,71860,52,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,6,5,1,2,1415
2307268.57,54718600000000,2307.26857,Cutler-Orosi Joint Unified,71860,52,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,6,5,1,2,1415
450474,54718600000000,450.474,Cutler-Orosi Joint Unified,71860,52,7,Accounts Receivable,Accounts Receivable,9200,6,5,1,2,1415
968498.82,54718600000000,968.49882,Cutler-Orosi Joint Unified,71860,5,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1415
269221.96,54718600000000,269.22196,Cutler-Orosi Joint Unified,71860,5,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,0,1415
202423.46,54718600000000,202.42346,Cutler-Orosi Joint Unified,71860,5,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,0,1415
2307268.57,54718600000000,2307.26857,Cutler-Orosi Joint Unified,71860,5,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,0,1415
450474,54718600000000,450.474,Cutler-Orosi Joint Unified,71860,5,9,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1415
10567.12,54721400000000,10.56712,Stone Corral Elementary,72140,19,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,8,1,0,1415
1858.39,54721400000000,1.85839,Stone Corral Elementary,72140,19,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,8,1,0,1415
47185.44,54721400000000,47.18544,Stone Corral Elementary,72140,19,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,8,1,0,1415
8239,54721400000000,8.239,Stone Corral Elementary,72140,19,1,Transfers of Indirect Costs - Interfund,Transfers of Indirect Costs - Interfund,7350,3,8,1,0,1415
423961.04,54721400000000,423.96104,Stone Corral Elementary,72140,19,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,8,1,0,1415
9093,54721400000000,9.093,Stone Corral Elementary,72140,19,1,Accounts Receivable,Accounts Receivable,9200,3,8,1,0,1415
10567.12,54721400000000,10.56712,Stone Corral Elementary,72140,553,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,86,190,1,0,1415
1858.39,54721400000000,1.85839,Stone Corral Elementary,72140,553,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,86,190,1,0,1415
47185.44,54721400000000,47.18544,Stone Corral Elementary,72140,553,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,86,190,1,0,1415
8239,54721400000000,8.239,Stone Corral Elementary,72140,553,5,Transfers of Indirect Costs - Interfund,Transfers of Indirect Costs - Interfund,7350,86,190,1,0,1415
423961.04,54721400000000,423.96104,Stone Corral Elementary,72140,553,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,86,190,1,0,1415
9093,54721400000000,9.093,Stone Corral Elementary,72140,553,5,Accounts Receivable,Accounts Receivable,9200,86,190,1,0,1415
10567.12,54721400000000,10.56712,Stone Corral Elementary,72140,15,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,6,9,1,0,1415
1858.39,54721400000000,1.85839,Stone Corral Elementary,72140,15,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,6,9,1,0,1415
47185.44,54721400000000,47.18544,Stone Corral Elementary,72140,15,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,6,9,1,0,1415
8239,54721400000000,8.239,Stone Corral Elementary,72140,15,6,Transfers of Indirect Costs - Interfund,Transfers of Indirect Costs - Interfund,7350,6,9,1,0,1415
423961.04,54721400000000,423.96104,Stone Corral Elementary,72140,15,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,6,9,1,0,1415
9093,54721400000000,9.093,Stone Corral Elementary,72140,15,6,Accounts Receivable,Accounts Receivable,9200,6,9,1,0,1415
10567.12,54721400000000,10.56712,Stone Corral Elementary,72140,103,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,28,41,1,0,1415
1858.39,54721400000000,1.85839,Stone Corral Elementary,72140,103,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,28,41,1,0,1415
47185.44,54721400000000,47.18544,Stone Corral Elementary,72140,103,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,28,41,1,0,1415
8239,54721400000000,8.239,Stone Corral Elementary,72140,103,7,Transfers of Indirect Costs - Interfund,Transfers of Indirect Costs - Interfund,7350,28,41,1,0,1415
423961.04,54721400000000,423.96104,Stone Corral Elementary,72140,103,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,28,41,1,0,1415
9093,54721400000000,9.093,Stone Corral Elementary,72140,103,7,Accounts Receivable,Accounts Receivable,9200,28,41,1,0,1415
61651.16,56724700000000,61.65116,Mesa Union Elementary,72470,7,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,1,1,0,1415
654452.58,56724700000000,654.45258,Mesa Union Elementary,72470,7,1,Accounts Receivable,Accounts Receivable,9200,2,1,1,0,1415
61651.16,56724700000000,61.65116,Mesa Union Elementary,72470,63,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,2,1,0,1415
654452.58,56724700000000,654.45258,Mesa Union Elementary,72470,63,2,Accounts Receivable,Accounts Receivable,9200,2,2,1,0,1415
61651.16,56724700000000,61.65116,Mesa Union Elementary,72470,545,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,8,8,1,0,1415
654452.58,56724700000000,654.45258,Mesa Union Elementary,72470,545,5,Accounts Receivable,Accounts Receivable,9200,8,8,1,0,1415
61651.16,56724700000000,61.65116,Mesa Union Elementary,72470,42,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1415
654452.58,56724700000000,654.45258,Mesa Union Elementary,72470,42,6,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1415
61651.16,56724700000000,61.65116,Mesa Union Elementary,72470,662,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,10,10,1,0,1415
654452.58,56724700000000,654.45258,Mesa Union Elementary,72470,662,7,Accounts Receivable,Accounts Receivable,9200,10,10,1,0,1415
826965.18,56725200000000,826.96518,Ojai Unified,72520,48,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,9,1,0,1415
569827.35,56725200000000,569.82735,Ojai Unified,72520,48,2,Accounts Receivable,Accounts Receivable,9200,1,9,1,0,1415
826965.18,56725200000000,826.96518,Ojai Unified,72520,884,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,28,74,1,0,1415
569827.35,56725200000000,569.82735,Ojai Unified,72520,884,5,Accounts Receivable,Accounts Receivable,9200,28,74,1,0,1415
826965.18,56725200000000,826.96518,Ojai Unified,72520,1630,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,36,119,1,0,1415
569827.35,56725200000000,569.82735,Ojai Unified,72520,1630,7,Accounts Receivable,Accounts Receivable,9200,36,119,1,0,1415
826965.18,56725200000000,826.96518,Ojai Unified,72520,53,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1415
569827.35,56725200000000,569.82735,Ojai Unified,72520,53,9,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,11,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,4,3,1,2,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,11,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,4,3,1,2,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,11,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,4,3,1,2,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,11,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,4,3,1,2,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,11,1,Accounts Receivable,Accounts Receivable,9200,4,3,1,2,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,358,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,36,34,1,27,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,358,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,36,34,1,27,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,358,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,36,34,1,27,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,358,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,36,34,1,27,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,358,2,Accounts Receivable,Accounts Receivable,9200,36,34,1,27,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,14,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,4,4,1,2,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,14,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,4,4,1,2,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,14,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,4,4,1,2,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,14,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,4,4,1,2,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,14,3,Accounts Receivable,Accounts Receivable,9200,4,4,1,2,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,83,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,12,11,1,9,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,83,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,12,11,1,9,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,83,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,12,11,1,9,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,83,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,12,11,1,9,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,83,4,Accounts Receivable,Accounts Receivable,9200,12,11,1,9,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,2986,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,199,238,1,49,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,2986,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,199,238,1,49,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,2986,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,199,238,1,49,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,2986,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,199,238,1,49,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,2986,5,Accounts Receivable,Accounts Receivable,9200,199,238,1,49,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,81,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,6,5,1,1,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,81,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,6,5,1,1,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,81,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,6,5,1,1,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,81,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,6,5,1,1,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,81,6,Accounts Receivable,Accounts Receivable,9200,6,5,1,1,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,2922,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,297,293,1,151,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,2922,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,297,293,1,151,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,2922,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,297,293,1,151,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,2922,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,297,293,1,151,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,2922,7,Accounts Receivable,Accounts Receivable,9200,297,293,1,151,1415
1134503.02,56739400000000,1134.50302,Moorpark Unified,73940,248,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,11,11,1,7,1415
29280.83,56739400000000,29.28083,Moorpark Unified,73940,248,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,11,11,1,7,1415
93872.84,56739400000000,93.87284,Moorpark Unified,73940,248,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,11,11,1,7,1415
4724013.64,56739400000000,4724.01364,Moorpark Unified,73940,248,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,11,11,1,7,1415
1112573.51,56739400000000,1112.57351,Moorpark Unified,73940,248,9,Accounts Receivable,Accounts Receivable,9200,11,11,1,7,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,41,0,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1,0,1,0,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,41,0,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,0,1,0,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,41,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,0,1,0,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,41,0,Accounts Receivable,Accounts Receivable,9200,1,0,1,0,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,467,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,41,46,1,21,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,467,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,41,46,1,21,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,467,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,41,46,1,21,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,467,2,Accounts Receivable,Accounts Receivable,9200,41,46,1,21,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,38,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,3,3,1,0,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,38,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,3,1,0,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,38,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,3,1,0,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,38,3,Accounts Receivable,Accounts Receivable,9200,3,3,1,0,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,58,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,4,4,1,2,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,58,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,4,4,1,2,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,58,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,4,4,1,2,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,58,4,Accounts Receivable,Accounts Receivable,9200,4,4,1,2,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,6750,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,387,451,1,157,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,6750,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,387,451,1,157,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,6750,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,387,451,1,157,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,6750,5,Accounts Receivable,Accounts Receivable,9200,387,451,1,157,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,125,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,5,7,1,1,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,125,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,5,7,1,1,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,125,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,5,7,1,1,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,125,6,Accounts Receivable,Accounts Receivable,9200,5,7,1,1,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,2390,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,171,185,1,85,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,2390,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,171,185,1,85,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,2390,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,171,185,1,85,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,2390,7,Accounts Receivable,Accounts Receivable,9200,171,185,1,85,1415
23840.8,57727100000000,23.8408,Woodland Joint Unified,72710,137,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,5,5,1,2,1415
508602.4,57727100000000,508.6024,Woodland Joint Unified,72710,137,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,5,5,1,2,1415
166647.19,57727100000000,166.64719,Woodland Joint Unified,72710,137,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,5,5,1,2,1415
1103806,57727100000000,1103.806,Woodland Joint Unified,72710,137,9,Accounts Receivable,Accounts Receivable,9200,5,5,1,2,1415
11704762.38,1100170000000,11704.76238,Alameda County Office of Education,10017,16,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,1,1,1,1516
2487.98,1100170000000,2.48798,Alameda County Office of Education,10017,16,1,Insurance,Insurance,5400,2,1,1,1,1516
783162.85,1100170000000,783.16285,Alameda County Office of Education,10017,16,1,Communications,Communications,5900,2,1,1,1,1516
248270.85,1100170000000,248.27085,Alameda County Office of Education,10017,16,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,1,1,1,1516
5172564.52,1100170000000,5172.56452,Alameda County Office of Education,10017,16,1,Accounts Receivable,Accounts Receivable,9200,2,1,1,1,1516
11704762.38,1100170000000,11704.76238,Alameda County Office of Education,10017,201,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,6,9,1,1,1516
2487.98,1100170000000,2.48798,Alameda County Office of Education,10017,201,2,Insurance,Insurance,5400,6,9,1,1,1516
783162.85,1100170000000,783.16285,Alameda County Office of Education,10017,201,2,Communications,Communications,5900,6,9,1,1,1516
248270.85,1100170000000,248.27085,Alameda County Office of Education,10017,201,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,6,9,1,1,1516
5172564.52,1100170000000,5172.56452,Alameda County Office of Education,10017,201,2,Accounts Receivable,Accounts Receivable,9200,6,9,1,1,1516
11704762.38,1100170000000,11704.76238,Alameda County Office of Education,10017,8,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,4,1,0,1516
2487.98,1100170000000,2.48798,Alameda County Office of Education,10017,8,3,Insurance,Insurance,5400,2,4,1,0,1516
783162.85,1100170000000,783.16285,Alameda County Office of Education,10017,8,3,Communications,Communications,5900,2,4,1,0,1516
248270.85,1100170000000,248.27085,Alameda County Office of Education,10017,8,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,4,1,0,1516
5172564.52,1100170000000,5172.56452,Alameda County Office of Education,10017,8,3,Accounts Receivable,Accounts Receivable,9200,2,4,1,0,1516
11704762.38,1100170000000,11704.76238,Alameda County Office of Education,10017,19,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,2,1,0,1516
2487.98,1100170000000,2.48798,Alameda County Office of Education,10017,19,4,Insurance,Insurance,5400,1,2,1,0,1516
