Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,241,6,Classified Support Salaries,Classified Support Salaries,2200,50,54,1,15,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,241,6,Accounts Receivable,Accounts Receivable,9200,50,54,1,15,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,1001,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,240,255,1,129,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,1001,7,Classified Support Salaries,Classified Support Salaries,2200,240,255,1,129,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,1001,7,Accounts Receivable,Accounts Receivable,9200,240,255,1,129,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,305,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,78,78,1,40,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,305,9,Classified Support Salaries,Classified Support Salaries,2200,78,78,1,40,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,305,9,Accounts Receivable,Accounts Receivable,9200,78,78,1,40,1213
389024.02,1611680000000,389.02402,Emery Unified,61168,23,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,7,7,1,3,1213
1542.77,1611680000000,1.54277,Emery Unified,61168,23,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,7,7,1,3,1213
87186.55,1611680000000,87.18655,Emery Unified,61168,23,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,7,7,1,3,1213
85988.98,1611680000000,85.98898,Emery Unified,61168,23,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,7,7,1,3,1213
3111.42,1611680000000,3.11142,Emery Unified,61168,23,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,7,7,1,3,1213
389024.02,1611680000000,389.02402,Emery Unified,61168,49,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,7,10,1,4,1213
1542.77,1611680000000,1.54277,Emery Unified,61168,49,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,7,10,1,4,1213
87186.55,1611680000000,87.18655,Emery Unified,61168,49,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,7,10,1,4,1213
85988.98,1611680000000,85.98898,Emery Unified,61168,49,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,7,10,1,4,1213
3111.42,1611680000000,3.11142,Emery Unified,61168,49,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,7,10,1,4,1213
389024.02,1611680000000,389.02402,Emery Unified,61168,139,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,21,29,1,3,1213
