Year,CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
1314,4614080000000,5,26,64,25,5,61408,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2144671.1300000004
1314,4614080000000,5,26,64,25,5,61408,9200,Accounts Receivable                                                                                                                                                                                                                                       ,157171.0
1314,4614080000000,7,21,78,19,2,61408,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,12935.97
1314,4614080000000,7,21,78,19,2,61408,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,106020.85
1314,4614080000000,7,21,78,19,2,61408,5100,Subagreements for Services                                                                                                                                                                                                                                ,80930.45000000001
1314,4614080000000,7,21,78,19,2,61408,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2144671.1300000004
1314,4614080000000,7,21,78,19,2,61408,9200,Accounts Receivable                                                                                                                                                                                                                                       ,157171.0
1314,4614240000000,0,14,38,11,4,61424,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2331862.09
1314,4614240000000,0,14,38,11,4,61424,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,173281.67
1314,4614240000000,0,14,38,11,4,61424,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,5476870.529999998
1314,4614240000000,0,14,38,11,4,61424,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3511831.12
1314,4614240000000,1,18,89,13,2,61424,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2331862.09
1314,4614240000000,1,18,89,13,2,61424,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,173281.67
1314,4614240000000,1,18,89,13,2,61424,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,5476870.529999998
1314,4614240000000,1,18,89,13,2,61424,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3511831.12
1314,4614240000000,2,88,274,74,41,61424,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2331862.09
1314,4614240000000,2,88,274,74,41,61424,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,173281.67
1314,4614240000000,2,88,274,74,41,61424,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,5476870.529999998
1314,4614240000000,2,88,274,74,41,61424,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3511831.12
1314,4614240000000,3,2,21,3,1,61424,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2331862.09
