CDS_CODE,ETHNIC,ENR_TOTAL,GRADS,UC_GRADS
10756000000000,6,7,4,0
10756000000000,7,188,22,6
10767800000000,1,15,1,0
10767800000000,2,293,32,23
10767800000000,3,3,1,0
10767800000000,4,6,3,1
10767800000000,5,2111,174,53
10767800000000,6,434,30,2
10767800000000,7,230,29,15
11101200000000,5,128,7,0
11101200000000,6,2,1,0
11101200000000,7,204,10,0
11101200000000,9,16,5,1
11626500000000,1,51,4,0
11626500000000,5,139,11,6
11626500000000,7,114,6,2
11626500000000,9,8,1,0
11626600000000,1,41,2,0
11626600000000,2,82,3,1
11626600000000,3,8,1,0
11626600000000,4,4,1,0
11626600000000,5,695,49,3
11626600000000,7,611,54,5
11754800000000,2,58,4,2
11754800000000,5,1301,77,10
11754800000000,6,11,3,1
11754800000000,7,756,57,15
11765600000000,5,619,61,21
11765600000000,7,84,24,11
11765600000000,9,3,1,1
12101200000000,1,29,1,0
12101200000000,2,9,1,1
12101200000000,4,2,1,1
12101200000000,5,61,1,1
12101200000000,7,312,31,16
12101200000000,9,42,3,2
12626900000000,0,277,15,8
12626900000000,1,85,23,8
12626900000000,2,27,5,2
12626900000000,3,7,3,0
12626900000000,5,152,34,19
12626900000000,6,20,6,4
12626900000000,7,1054,266,144
12626900000000,9,100,9,3
12628100000000,1,62,13,2
12628100000000,2,18,3,2
12628100000000,3,2,1,1
12628100000000,4,10,1,1
12628100000000,5,202,42,9
12628100000000,6,5,2,0
12628100000000,7,761,172,50
12629000000000,1,852,47,2
12629000000000,5,46,1,0
12629000000000,7,108,6,1
12629300000000,2,1,1,0
12629300000000,5,61,6,0
12629300000000,7,120,15,0
12630300000000,5,148,3,1
12630300000000,7,525,21,6
12630300000000,9,90,3,0
12630400000000,0,3,1,0
12630400000000,1,26,4,0
12630400000000,2,11,1,0
12630400000000,5,87,5,0
12630400000000,7,571,44,0
12753700000000,1,26,1,0
12753700000000,5,92,5,1
12753700000000,7,392,28,5
12753800000000,1,51,14,0
12753800000000,2,12,1,0
12753800000000,5,65,5,0
12753800000000,7,600,58,0
12753800000000,9,49,10,0
12755200000000,0,33,4,0
12755200000000,1,211,20,1
12755200000000,2,385,42,15
12755200000000,3,59,3,0
12755200000000,4,29,1,1
12755200000000,5,642,36,5
12755200000000,6,99,4,2
12755200000000,7,2035,214,56
12755200000000,9,176,8,0
13101300000000,0,0,1,0
13101300000000,5,510,4,0
13101300000000,7,16,2,0
13630800000000,2,13,1,0
13630800000000,4,6,4,2
13630800000000,5,1561,355,67
13630800000000,6,16,6,0
13630800000000,7,221,44,20
13630800000000,9,12,4,2
13631000000000,2,46,4,3
13631000000000,5,9109,591,133
13631000000000,7,42,3,0
13631100000000,5,1041,75,23
13631100000000,6,28,3,1
13631100000000,7,98,8,3
13631200000000,1,26,1,0
13631200000000,2,87,16,13
13631200000000,3,10,3,1
13631200000000,5,9244,783,221
13631200000000,6,128,14,0
13631200000000,7,466,55,31
13631200000000,9,28,5,1
13631500000000,5,1376,111,41
13631500000000,7,183,10,7
13631500000000,9,17,1,0
13631600000000,2,39,3,1
13631600000000,4,32,2,0
13631600000000,5,2911,155,37
13631600000000,6,69,7,2
13631600000000,7,628,44,14
13631600000000,9,21,1,0
13632100000000,1,350,11,0
13632100000000,5,391,14,0
13632100000000,7,53,1,0
14101400000000,0,3,1,0
14101400000000,1,19,3,0
14101400000000,2,11,4,0
14101400000000,3,6,2,0
14101400000000,4,4,1,0
14101400000000,5,1174,310,0
14101400000000,6,386,111,0
14101400000000,7,54,18,0
14632500000000,1,90,5,1
14632500000000,5,28,1,0
14632500000000,7,58,4,2
14632700000000,7,23,4,0
14632900000000,1,52,3,2
14632900000000,2,7,1,1
14632900000000,5,189,13,4
14632900000000,7,124,8,4
14633000000000,5,24,1,0
14633000000000,7,26,1,0
14766900000000,0,66,4,2
14766900000000,1,262,22,3
14766900000000,2,29,3,0
14766900000000,5,675,55,14
14766900000000,6,6,2,1
14766900000000,7,852,83,39
14766900000000,9,91,10,5
15101600000000,1,40,5,1
15101600000000,2,52,1,0
15101600000000,4,44,3,2
15101600000000,5,2580,208,31
15101600000000,6,345,36,1
15101600000000,7,1451,119,13
15101600000000,9,28,3,1
15634100000000,1,5,1,0
15634100000000,2,40,10,3
15634100000000,3,1,1,0
15634100000000,4,490,114,67
15634100000000,5,3671,752,246
15634100000000,6,37,11,2
15634100000000,7,79,16,7
15635300000000,0,102,3,1
15635300000000,1,284,64,18
15635300000000,2,930,190,114
15635300000000,3,60,13,5
15635300000000,4,398,87,50
15635300000000,5,23004,4716,1322
15635300000000,6,2347,446,115
15635300000000,7,9379,2044,809
15635300000000,9,566,134,55
15636300000000,0,67,1,0
15636300000000,2,54,2,0
15636300000000,3,12,1,0
15636300000000,5,527,23,0
15636300000000,6,218,4,0
15636300000000,7,1408,60,1
15636800000000,2,18,1,0
15636800000000,4,22,1,0
15636800000000,5,1084,76,10
15636800000000,6,742,33,1
15636800000000,7,712,43,7
15636800000000,9,73,9,1
15636900000000,2,126,2,2
15636900000000,3,23,1,1
15636900000000,4,199,3,2
15636900000000,5,1489,26,8
15636900000000,6,190,9,4
15636900000000,7,3216,71,28
15636900000000,9,451,15,5
15637700000000,0,25,3,0
15637700000000,1,5,2,0
15637700000000,3,3,1,0
15637700000000,4,7,3,0
15637700000000,5,368,16,0
15637700000000,6,28,3,0
15637700000000,7,125,18,0
15637800000000,0,181,6,0
15637800000000,1,38,3,0
15637800000000,2,17,2,0
15637800000000,5,1599,89,8
15637800000000,6,300,19,2
15637800000000,7,1093,76,8
15638200000000,1,23,2,0
15638200000000,3,12,4,1
15638200000000,5,413,81,12
15638200000000,6,10,2,0
15638200000000,7,549,124,26
15638200000000,9,19,7,2
15638300000000,1,34,3,1
15638300000000,2,51,5,1
15638300000000,3,7,1,0
15638300000000,4,23,1,0
15638300000000,5,2056,90,17
15638300000000,6,75,3,0
15638300000000,7,2913,216,67
15638300000000,9,49,2,0
15638600000000,1,3,1,1
15638600000000,2,3,2,0
15638600000000,5,1618,359,86
15638600000000,6,40,4,0
15638600000000,7,90,18,2
15638600000000,9,6,4,2
15737400000000,1,63,1,0
15737400000000,2,137,13,8
15737400000000,3,54,4,0
15737400000000,4,103,7,4
15737400000000,5,1238,64,7
15737400000000,6,250,15,1
15737400000000,7,3101,210,37
15737400000000,9,62,5,1
15739100000000,5,3238,169,63
15739100000000,6,12,1,1
15739100000000,7,43,4,1
15751700000000,2,10,2,0
15751700000000,3,3,1,0
15751700000000,5,259,17,2
15751700000000,7,572,54,16
15751700000000,9,40,7,1
16101700000000,5,270,5,0
16101700000000,6,39,3,0
16101700000000,7,63,5,0
16638800000000,0,82,1,0
16638800000000,1,244,1,0
16638800000000,2,72,4,0
16638800000000,3,23,2,0
16638800000000,5,1816,100,0
16638800000000,6,209,11,0
16638800000000,7,1275,69,0
16638800000000,9,61,4,0
16638900000000,0,52,2,0
16638900000000,4,9,2,1
