CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
7616970000000,John Swett Unified,6,24,103,36,2
7616970000000,John Swett Unified,7,38,121,60,4
7616970000000,John Swett Unified,9,13,48,26,8
7617210000000,Liberty Union High,1,17,43,18,6
7617210000000,Liberty Union High,2,55,225,100,52
7617210000000,Liberty Union High,3,14,53,28,8
7617210000000,Liberty Union High,4,84,352,152,102
7617210000000,Liberty Union High,5,657,2651,1086,366
7617210000000,Liberty Union High,6,219,748,320,102
7617210000000,Liberty Union High,7,933,3547,1634,764
7617210000000,Liberty Union High,9,50,290,92,34
7617390000000,Martinez Unified,1,2,6,2,2
7617390000000,Martinez Unified,2,9,43,18,14
7617390000000,Martinez Unified,3,1,10,2,0
7617390000000,Martinez Unified,4,5,39,12,8
7617390000000,Martinez Unified,5,84,352,154,46
7617390000000,Martinez Unified,6,13,40,24,6
7617390000000,Martinez Unified,7,202,738,356,168
7617390000000,Martinez Unified,9,42,135,72,38
7617540000000,Mt. Diablo Unified,0,8,60,6,4
7617540000000,Mt. Diablo Unified,1,11,49,20,0
7617540000000,Mt. Diablo Unified,2,173,775,330,140
7617540000000,Mt. Diablo Unified,3,22,108,34,6
7617540000000,Mt. Diablo Unified,4,119,525,230,98
7617540000000,Mt. Diablo Unified,5,810,3461,1242,174
7617540000000,Mt. Diablo Unified,6,120,510,182,28
7617540000000,Mt. Diablo Unified,7,885,3494,1594,624
7617540000000,Mt. Diablo Unified,9,21,168,32,4
7617880000000,Pittsburg Unified,1,1,12,2,0
7617880000000,Pittsburg Unified,2,33,146,56,18
7617880000000,Pittsburg Unified,3,7,64,12,2
7617880000000,Pittsburg Unified,4,37,276,70,30
7617880000000,Pittsburg Unified,5,388,2645,696,170
7617880000000,Pittsburg Unified,6,178,1095,304,60
7617880000000,Pittsburg Unified,7,47,281,80,20
7617880000000,Pittsburg Unified,9,9,60,16,4
7617960000000,West Contra Costa Unified,1,2,13,4,2
7617960000000,West Contra Costa Unified,2,245,919,448,286
7617960000000,West Contra Costa Unified,3,25,86,42,10
7617960000000,West Contra Costa Unified,4,173,610,328,176
7617960000000,West Contra Costa Unified,5,1105,4727,1682,638
7617960000000,West Contra Costa Unified,6,478,1997,736,248
7617960000000,West Contra Costa Unified,7,212,829,350,156
7617960000000,West Contra Costa Unified,9,14,63,18,4
7618040000000,San Ramon Valley Unified,1,4,20,8,0
7618040000000,San Ramon Valley Unified,2,519,6354,1034,882
7618040000000,San Ramon Valley Unified,3,6,37,12,6
7618040000000,San Ramon Valley Unified,4,73,596,154,104
7618040000000,San Ramon Valley Unified,5,204,1211,396,152
7618040000000,San Ramon Valley Unified,6,65,350,132,50
7618040000000,San Ramon Valley Unified,7,1301,6351,2572,1690
7618040000000,San Ramon Valley Unified,9,122,1075,234,160
8100820000000,Del Norte County Office of Education,1,16,117,20,0
