,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
495,11101160000000,10116,2200,Classified Support Salaries                                                                                                                                                                                                                               ,132546.38,1415
496,11101160000000,10116,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1753056.47,1415
497,11101160130807,10116,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,261.81,1415
498,11101160130807,10116,9200,Accounts Receivable                                                                                                                                                                                                                                       ,44445.0,1415
499,11625540000000,62554,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1309.98,1415
500,11625540000000,62554,9200,Accounts Receivable                                                                                                                                                                                                                                       ,100647.0,1415
501,11625960000000,62596,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2127.84,1415
502,11625960000000,62596,9200,Accounts Receivable                                                                                                                                                                                                                                       ,132362.0,1415
503,11626380000000,62638,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1056.42,1415
504,11626380000000,62638,9200,Accounts Receivable                                                                                                                                                                                                                                       ,70606.0,1415
505,11626460000000,62646,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1717.8,1415
506,11626460000000,62646,9200,Accounts Receivable                                                                                                                                                                                                                                       ,156888.0,1415
507,11626530000000,62653,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4850.41,1415
508,11626530000000,62653,9200,Accounts Receivable                                                                                                                                                                                                                                       ,67699.0,1415
509,11626610000000,62661,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,257181.71,1415
510,11626610000000,62661,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1010317.0,1415
511,11754810000000,75481,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,308524.23,1415
512,11754810000000,75481,2200,Classified Support Salaries                                                                                                                                                                                                                               ,32349.550000000007,1415
513,11754810000000,75481,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1136893.51,1415
514,11765620000000,76562,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4718.16,1415
515,11765620000000,76562,9200,Accounts Receivable                                                                                                                                                                                                                                       ,386343.0,1415
516,12101240000000,10124,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1289108.02,1415
517,12101240000000,10124,5900,Communications                                                                                                                                                                                                                                            ,28953.49,1415
518,12101240000000,10124,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,83570.54,1415
519,12101240000000,10124,9200,Accounts Receivable                                                                                                                                                                                                                                       ,13835083.95,1415
520,12626790000000,62679,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,14940.279999999995,1415
521,12626790000000,62679,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,20557.57,1415
522,12626790000000,62679,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,393709.43000000005,1415
523,12626790000000,62679,9200,Accounts Receivable                                                                                                                                                                                                                                       ,322115.28,1415
524,12626870000000,62687,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317494.78,1415
