CDS_CODE,ETHNIC,GRADS,UC_GRADS
17640100000000,7,92,14
17640100000000,9,3,0
17640200000000,1,8,3
17640200000000,2,3,2
17640200000000,3,1,0
17640200000000,5,51,17
17640200000000,6,8,0
17640200000000,7,96,25
17640200000000,9,5,2
17640300000000,1,2,0
17640300000000,2,1,1
17640300000000,5,22,5
17640300000000,7,68,25
17640300000000,9,11,5
17640600000000,0,1,0
17640600000000,1,3,1
17640600000000,2,1,0
17640600000000,3,1,0
17640600000000,5,21,7
17640600000000,7,96,31
17640600000000,9,1,1
17640700000000,1,8,1
17640700000000,2,2,1
17640700000000,5,13,5
17640700000000,7,45,5
17640700000000,9,3,1
18101800000000,2,1,0
18101800000000,5,1,0
18101800000000,7,1,0
18640900000000,5,2,1
18640900000000,7,13,10
18641400000000,1,6,0
18641400000000,3,1,1
18641400000000,4,3,1
18641400000000,5,22,4
18641400000000,6,4,0
18641400000000,7,160,36
18641600000000,1,1,0
18641600000000,5,3,0
18641600000000,7,20,0
18642000000000,1,4,0
18642000000000,2,1,0
18642000000000,5,11,0
18642000000000,6,2,0
18642000000000,7,44,0
18750400000000,1,1,0
18750400000000,5,4,0
18750400000000,7,21,0
18767300000000,0,1,0
18767300000000,1,1,0
18767300000000,5,8,0
18767300000000,6,1,0
18767300000000,7,33,0
19102000000000,0,1,1
19102000000000,1,6,0
19102000000000,2,33,16
19102000000000,3,1,1
19102000000000,4,10,2
19102000000000,5,634,128
19102000000000,6,121,27
19102000000000,7,124,69
19102000000000,9,4,0
19642100000000,0,6,4
19642100000000,1,7,0
19642100000000,2,495,357
19642100000000,3,18,7
19642100000000,4,178,92
19642100000000,5,647,165
19642100000000,6,160,60
19642100000000,7,112,39
19642100000000,9,34,15
19642500000000,0,190,34
19642500000000,1,32,1
19642500000000,2,86,50
19642500000000,3,9,3
19642500000000,4,105,51
19642500000000,5,2439,733
19642500000000,6,844,184
19642500000000,7,1089,365
19642500000000,9,48,8
19642600000000,1,1,1
19642600000000,2,599,459
19642600000000,4,23,13
19642600000000,5,109,36
19642600000000,6,13,3
19642600000000,7,116,73
19642600000000,9,2,1
19642800000000,2,5,4
19642800000000,3,2,0
19642800000000,4,8,4
19642800000000,5,609,158
19642800000000,6,4,0
19642800000000,7,32,11
19642800000000,9,8,3
19642900000000,1,6,3
19642900000000,2,72,44
19642900000000,3,4,1
19642900000000,4,21,13
19642900000000,5,1530,499
19642900000000,6,144,64
19642900000000,7,117,49
19642900000000,9,24,13
19643000000000,1,1,1
19643000000000,2,53,32
19643000000000,3,10,1
19643000000000,4,68,34
19643000000000,5,830,240
19643000000000,6,153,41
19643000000000,7,166,46
19643000000000,9,18,3
19643100000000,1,2,1
19643100000000,2,77,62
19643100000000,3,3,2
19643100000000,4,7,4
19643100000000,5,28,15
19643100000000,6,36,13
19643100000000,7,350,238
19643100000000,9,1,0
19643300000000,0,17,5
19643300000000,1,1,1
19643300000000,2,29,18
19643300000000,3,1,0
19643300000000,4,18,11
19643300000000,5,360,143
19643300000000,6,36,9
19643300000000,7,288,135
19643300000000,9,40,23
19643400000000,0,7,1
19643400000000,1,1,0
19643400000000,2,111,75
19643400000000,3,3,0
19643400000000,4,75,40
19643400000000,5,642,120
19643400000000,6,32,10
19643400000000,7,691,243
19643400000000,9,43,16
19643500000000,0,7,1
19643500000000,2,44,32
19643500000000,3,18,4
19643500000000,4,19,12
19643500000000,5,880,285
19643500000000,6,216,68
19643500000000,7,34,17
19643500000000,9,8,4
19643800000000,1,3,2
19643800000000,2,17,15
19643800000000,3,1,0
19643800000000,4,11,9
19643800000000,5,297,117
19643800000000,6,15,9
19643800000000,7,135,59
19643800000000,9,13,7
19643900000000,0,11,8
19643900000000,1,3,3
19643900000000,2,65,59
19643900000000,3,3,3
19643900000000,4,13,13
19643900000000,5,218,111
19643900000000,6,47,23
19643900000000,7,255,198
19643900000000,9,14,13
